Jogador,Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Pontos,Rebotes,Assistências,Placar do Jogo,Tentativas de 3 PTS,Cestas de 3 PTS,Tempo de Permanência do Jogador em Quadra,Minutos
Trae Young,2024-12-11T00:00:00,NYK,W,Away,0.5052317105050135,-0.4798937175231731,0.9296571727167188,OFFLINE,0.8527967364749112,0.3172863578456277,36:24,0.6805121976019011
Trae Young,2024-12-08T00:00:00,DEN,L,Home,-0.25470358959343664,-0.7118126144674576,0.7393336570424298,OFFLINE,0.6179162793949569,0.3172863578456277,35:08,0.5137845154041434
Trae Young,2024-12-06T00:00:00,LAL,W,Home,1.4822913820601638,-0.7118126144674576,2.6425688137853185,OFFLINE,2.027199021874683,2.060126915025836,42:05,1.4285929821997356
Trae Young,2024-12-04T00:00:00,MIL,W,Away,-0.037579218136736606,-0.7118126144674576,0.1683631100195633,OFFLINE,1.0876771935548655,-0.8446073469411779,35:23,0.5466912947852798
Trae Young,2024-12-02T00:00:00,NOP,W,Home,-0.5803901467784867,0.21586297330968018,1.690951235413874,OFFLINE,1.0876771935548655,0.3172863578456277,35:50,0.6059234976713257
Trae Young,2024-11-30T00:00:00,CHA,W,Away,-0.36326577532178667,-0.7118126144674576,-0.2122839213290144,OFFLINE,0.3830358223150025,0.3172863578456277,30:48,-0.056599660535554104
Trae Young,2024-11-29T00:00:00,CLE,W,Home,0.39666952477666345,-0.943731511411742,0.9296571727167188,OFFLINE,0.14815536523504821,0.3172863578456277,34:40,0.4523585272260218
Trae Young,2024-11-27T00:00:00,CLE,W,Away,0.2881073390483134,-0.7118126144674576,3.023215845133896,OFFLINE,2.027199021874683,0.8982332102390305,36:57,0.7529071122404016
Trae Young,2024-11-25T00:00:00,DAL,L,Home,0.07098296759161342,-1.1756504083560264,1.881274751088163,OFFLINE,-0.08672509184490611,0.3172863578456277,35:16,0.5313347977407494
Trae Young,2024-11-22T00:00:00,CHI,L,Away,0.8309182676900635,-1.4075693053003109,1.3103042040652964,OFFLINE,0.8527967364749112,-0.26366049454777507,37:31,0.827495812170977
Trae Young,2024-11-20T00:00:00,GSW,L,Away,-0.5803901467784867,-0.943731511411742,0.9296571727167188,OFFLINE,0.3830358223150025,-0.26366049454777507,30:20,-0.11802564871367564
Trae Young,2024-11-18T00:00:00,SAC,W,Away,-1.1232010754202368,-0.943731511411742,2.4522452981110296,OFFLINE,-0.5564860060048147,-0.8446073469411779,35:43,0.5905670006267952
Trae Young,2024-11-17T00:00:00,POR,L,Away,1.2651670106034636,-0.4798937175231731,0.3586866256938522,OFFLINE,1.3225576506348198,2.060126915025836,37:55,0.880146659180795
Trae Young,2024-11-15T00:00:00,WAS,W,Home,0.07098296759161342,-1.1756504083560264,0.549010141368141,OFFLINE,1.0876771935548655,1.4791800626324332,33:07,0.24833649506297653
Trae Young,2024-11-09T00:00:00,CHI,L,Home,-0.36326577532178667,-0.943731511411742,1.881274751088163,OFFLINE,0.3830358223150025,0.3172863578456277,37:52,0.8735653033045682
Trae Young,2024-11-08T00:00:00,DET,L,Away,1.9165401249735639,-1.1756504083560264,1.3103042040652964,OFFLINE,1.7923185647947284,2.641073767419239,41:00,1.285996938214811
Trae Young,2024-11-06T00:00:00,NYK,W,Home,0.6137938962333636,-0.2479748205788887,0.7393336570424298,OFFLINE,1.0876771935548655,0.8982332102390305,35:15,0.5291410124486737
Trae Young,2024-11-04T00:00:00,BOS,L,Home,-1.6660120040619868,-1.6394882022445953,-0.02196040565472556,OFFLINE,0.3830358223150025,-0.8446073469411779,23:15,-1.0503843978458736
Trae Young,2024-11-03T00:00:00,NOP,W,Away,0.6137938962333636,-0.7118126144674576,1.1199806883910075,OFFLINE,1.3225576506348198,2.060126915025836,31:21,0.01579525410294607
Trae Young,2024-11-01T00:00:00,SAC,L,Home,0.8309182676900635,-0.4798937175231731,1.1199806883910075,OFFLINE,1.0876771935548655,0.8982332102390305,42:18,1.45711219099672
Trae Young,2024-10-30T00:00:00,WAS,L,Away,1.9165401249735639,-0.7118126144674576,1.690951235413874,OFFLINE,2.027199021874683,1.4791800626324332,40:21,1.2004393118238565
Trae Young,2024-10-28T00:00:00,WAS,L,Home,-0.36326577532178667,0.21586297330968018,1.3103042040652964,OFFLINE,1.3225576506348198,0.3172863578456277,35:44,0.5927607859188709
